Status,Sharpe,Fitness,Returns(%),Drawdown(%),Margin(bps),Turnover(%),Universe,Delay,Decay,Neutralization,FailedChecks,Code,,
SUCCESS,-0.3200,-0.1100,-1.4000,11.5700,-17.8100,1.5700,TOP3000,1,2,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(fcf_yield_times_forward_roe), sector), 10))",,
SUCCESS,0.3200,0.1800,3.7600,39.1000,50.8300,1.4800,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_deepvaluefactor_ebitdaev), subindustry), 15))",,
SUCCESS,0.3100,0.0800,1.2900,7.7600,1.2100,21.3200,TOP1000,1,4,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(earnings_revision_magnitude, 5)), sector), 15))",,
SUCCESS,0.7000,0.7100,12.7300,27.2200,32.7500,7.7700,TOP200,1,8,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 15))",,
SUCCESS,0.0600,0.0100,0.3000,12.4400,2.7100,2.2500,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_earningmomentumfactor400_sue, 20)), industry), 15))",,
SUCCESS,-0.0300,-0.0000,-0.1900,13.0900,-1.5200,2.5000,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_earningmomentumfactor400_sue), industry), 10))",,
SUCCESS,-0.0700,-0.0100,-0.7000,24.1500,-0.6800,20.6900,TOP200,1,8,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(fcf_yield_times_forward_roe, 10)), industry), 5))",,
SUCCESS,-0.4100,-0.2000,-2.9300,17.2900,-12.5500,4.6800,TOP1000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean((implied_volatility_call_270 - implied_volatility_put_270), 20)), industry), 15))",,
SUCCESS,0.9708,1.5135,30.6478,-24.4124,1.7626,48.9955,TOP3000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 30))",,
FAILED,,,,,,,TOP200,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_std_dev(cash_burn_rate_v1, 5)), subindustry), 3))",,
FAILED,,,,,,,TOP3000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 30))",,
SUCCESS,1.4451,0.9042,34.8112,-25.6568,10.4777,79.1732,TOP3000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 10), sector), 5))",,
FAILED,,,,,,,TOP1000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fifty_to_two_hundred_day_price_ratio, 20)), industry), 15))",,
SUCCESS,1.0267,1.3218,-0.6078,-18.9142,22.9278,29.1061,TOP1000,1,8,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_deepvaluefactor_ebitdaev), industry), 10))",,
SUCCESS,0.6000,0.3200,5.4000,13.7600,5.7300,18.8700,TOP200,1,4,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_std_dev(earnings_revision_magnitude, 3)), sector), 15))",,
SUCCESS,-0.4100,-0.2000,-2.9600,17.2800,-12.5400,4.7200,TOP1000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean((implied_volatility_call_270 - implied_volatility_put_270), 20)), industry), 15))",,
FAILED,,,,,,,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 30))",,
FAILED,,,,,,,TOP1000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_std_dev(earnings_revision_magnitude, 10)), subindustry), 3))",,
FAILED,,,,,,,TOP3000,1,8,NONE,,"normalize(ts_decay_linear(group_rank(ts_mean(earnings_revision_magnitude, 10), subindustry), 3))",,
SUCCESS,1.1042,2.0727,34.8201,-18.3844,26.3552,57.3178,TOP1000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 10), sector), 30))",,
SUCCESS,1.9982,1.2516,-4.3624,-25.6003,21.8177,32.1831,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(consensus_analyst_rating, 3)), industry), 30))",,
SUCCESS,1.7214,1.3955,8.1619,-2.1697,24.1518,13.7152,TOP200,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 30))",,
SUCCESS,-0.6100,-0.3900,-5.0200,53.6200,-42.8800,2.3400,TOP3000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(cash_burn_rate_v1, 20)), industry), 15))",,
SUCCESS,0.0300,0.0000,0.2300,11.2600,3.3700,1.3500,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(consensus_analyst_rating, 10)), industry), 30))",,
SUCCESS,0.2600,0.1300,3.2300,42.7900,59.7500,1.0800,TOP3000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 30))",,
SUCCESS,0.2500,0.0600,1.1600,11.8600,1.0300,22.5300,TOP1000,1,8,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_delta(consensus_analyst_rating, 10)), subindustry), 3)), 2)",,
SUCCESS,-0.3400,-0.2800,-8.4500,60.6600,-57.1000,2.9600,TOP1000,1,8,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_neutralize(zscore(fifty_to_two_hundred_day_price_ratio), industry), 10)), 2)",,
SUCCESS,0.0200,0.0000,0.4700,54.0600,4.9700,1.9100,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_deepvaluefactor_ebitdaev), sector), 15))",,
SUCCESS,1.0897,2.1623,1.3079,-3.6821,16.3920,67.7600,TOP1000,1,2,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 15))",,
FAILED,,,,,,,TOP3000,1,8,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 10))",,
SUCCESS,1.9499,0.6859,-4.0703,-28.2773,23.4924,44.2872,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 30))",,
FAILED,,,,,,,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_deepvaluefactor_ebitdaev), industry), 30))",,
FAILED,,,,,,,TOP3000,1,0,NONE,,"sum((close - vwap), 2)",,
SUCCESS,0.8883,1.7529,24.0462,-24.0530,30.8856,66.2853,TOP3000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 2)), industry), 10))",,
SUCCESS,0.6700,0.4300,5.1300,14.4300,19.3800,5.3000,TOP3000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(fifty_to_two_hundred_day_price_ratio, 20)), subindustry), 10))",,
SUCCESS,0.8200,0.5100,8.7200,13.7300,7.8200,22.2800,TOP1000,1,8,NONE,,"signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_std_dev(cash_burn_rate_v1, 10)), subindustry), 3)), 2)",,
SUCCESS,2.0600,2.3500,22.3300,10.3300,25.9300,17.2200,TOP3000,1,2,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 30))",,
SUCCESS,-0.5400,-0.3400,-4.8800,30.6300,-28.8700,3.3800,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_earningsqualityfactor_wcacc, 5)), industry), 30))",,
SUCCESS,-0.1100,-0.0300,-1.1200,45.5500,-9.0500,2.4800,TOP1000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(cash_burn_rate_v1, 20)), industry), 30))",,
SUCCESS,0.0800,0.0100,0.4200,15.1400,5.0200,1.6800,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 10))",,
SUCCESS,-0.1600,-0.0800,-2.9900,52.7700,-30.7000,1.9500,TOP200,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), industry), 30))",,
SUCCESS,1.8623,1.1650,-9.0156,-10.0529,19.7773,63.3684,TOP3000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(cash_burn_rate_v1, 3), subindustry), 15))",,
SUCCESS,1.9094,1.0660,30.2832,-24.9685,31.6749,59.8517,TOP3000,1,0,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), subindustry), 30)), 2)",,
FAILED,,,,,,,TOP3000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 30))",,
SUCCESS,0.1200,0.0600,2.6500,29.9200,19.5000,2.7200,TOP200,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(zscore(fifty_to_two_hundred_day_price_ratio), industry), 30))",,
FAILED,,,,,,,TOP3000,1,8,NONE,,"correlation(covariance(adv120, close, 20), ((returns < 0) ? volume : low), 10)",,
FAILED,,,,,,,TOP1000,1,8,NONE,,"(((adv20 > returns) ? returns : adv180) - covariance(open, cap, 5))",,
SUCCESS,1.6697,2.1603,19.0772,-25.3080,34.3702,26.1585,TOP3000,1,2,NONE,,"((high > low) ? ts_max(vwap, 20) : ts_argmax(vwap, 20))",,
SUCCESS,0.8091,0.9893,-1.6522,-15.9544,1.2558,64.5836,TOP3000,1,2,NONE,,"((high > low) ? ts_max(vwap, 15) : ts_argmax(vwap, 10))",,
FAILED,,,,,,,TOP1000,1,4,NONE,,"correlation(((cap > adv20) ? high : high), (adv60 / (abs(volume) + 1e-5)), 30)",,
SUCCESS,-0.0100,-0.0000,-0.1000,23.9700,-1.1000,1.8300,TOP200,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(consensus_analyst_rating, 10)), industry), 30))",,
SUCCESS,0.8000,0.8900,15.4800,31.3300,38.3000,8.0800,TOP1000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 30))",,
SUCCESS,0.1400,0.0600,2.3200,62.7300,16.1600,2.8600,TOP200,1,2,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_deepvaluefactor_ebitdaev), industry), 5))",,
SUCCESS,-0.1700,-0.0700,-2.1600,62.4200,-15.2000,2.8400,TOP1000,1,8,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_rank(ts_mean(cash_burn_rate_v1, 10), sector), 10)), 2)",,
SUCCESS,-0.0300,-0.0100,-0.4500,43.3700,-2.4500,3.6800,TOP200,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fifty_to_two_hundred_day_price_ratio, 3)), subindustry), 5))",,
SUCCESS,0.5400,0.3500,5.1700,35.8000,38.0900,2.7100,TOP3000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(cash_burn_rate_v1), sector), 3))",,
SUCCESS,-0.1500,-0.0700,-2.8800,52.2300,-30.5300,1.8800,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 30))",,
SUCCESS,0.3200,0.2000,4.6500,46.1400,84.8500,1.1000,TOP3000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10), sector), 15))",,
SUCCESS,0.2500,0.1300,3.1700,42.9900,61.5700,1.0300,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), industry), 30))",,
SUCCESS,0.0900,0.0300,1.4900,28.4000,14.9300,2.0000,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fifty_to_two_hundred_day_price_ratio, 20)), industry), 30))",,
SUCCESS,-0.8300,-0.4200,-5.1100,33.9300,-5.1000,20.0300,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_delta(earnings_revision_magnitude, 10)), industry), 10))",,
SUCCESS,-0.0500,-0.0100,-0.3000,11.2200,-0.2200,26.6900,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_delta(mdl177_2_earningmomentumfactor400_sue, 5)), subindustry), 10))",,
SUCCESS,0.1000,0.0300,0.9300,28.6500,9.7700,1.9100,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 20), sector), 30))",,
SUCCESS,-0.8600,-0.5100,-8.0500,50.5300,-6.9600,23.1500,TOP1000,1,8,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_delta(mdl177_2_earningsqualityfactor_wcacc, 10)), sector), 5)), 2)",,
SUCCESS,0.1000,0.0300,0.9300,28.6500,9.7700,1.9100,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 20), sector), 30))",,
SUCCESS,-0.7100,-0.4400,-4.7900,45.6700,-37.5200,2.5500,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(cash_burn_rate_v1, 3), subindustry), 30))",,
SUCCESS,0.2900,0.1100,1.8600,18.1300,27.6400,1.3500,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 20), sector), 30))",,
SUCCESS,0.8800,0.9600,14.8100,27.1000,37.3300,7.9300,TOP1000,1,2,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), subindustry), 30))",,
SUCCESS,0.0600,0.0100,0.2200,8.9900,3.0000,1.4600,TOP3000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 10))",,
SUCCESS,-0.4500,-0.2500,-3.8700,27.8100,-8.2900,9.3400,TOP200,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_std_dev(earnings_revision_magnitude, 10)), industry), 30))",,
SUCCESS,0.0200,0.0000,0.1200,11.2800,1.8000,1.2900,TOP1000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(consensus_analyst_rating, 20)), industry), 30))",,
SUCCESS,0.2900,0.1100,1.8500,18.1800,27.7700,1.3300,TOP1000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 20), sector), 30))",,
SUCCESS,0.4700,0.2800,4.3900,11.7300,26.1500,3.3600,TOP200,1,8,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_earningsqualityfactor_wcacc), industry), 30))",,
SUCCESS,0.0500,0.0100,0.5100,29.3000,5.1300,1.9800,TOP200,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 10), sector), 30))",,
SUCCESS,-0.1600,-0.0800,-2.9900,52.7700,-30.7000,1.9500,TOP200,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), industry), 30))",,
SUCCESS,0.2500,0.1300,3.1900,42.8300,60.6000,1.0500,TOP3000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), industry), 30))",,
SUCCESS,2.0900,2.0900,22.1000,9.2400,19.9300,22.1800,TOP3000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 15))",,
SUCCESS,0.0000,0.0000,0.0100,12.9300,0.0100,11.7300,TOP1000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_std_dev(mdl177_2_earningsqualityfactor_wcacc, 20)), industry), 10))",,
ERROR,,,,,,,TOP3000,1,0,NONE,,"((high > low) ? ts_max(vwap, 20) : ts_argmax(vwap, 20))",,
SUCCESS,0.0200,0.0000,0.1800,30.1400,1.6500,2.2400,TOP200,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 10), sector), 10))",,
SUCCESS,0.2000,0.0500,0.9300,8.3800,13.5300,1.3700,TOP3000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 10), sector), 15))",,
SUCCESS,-0.0600,-0.0200,-1.4100,34.4800,-9.7500,2.8900,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fifty_to_two_hundred_day_price_ratio, 10)), sector), 5))",,
SUCCESS,0.4400,0.2700,4.6900,36.0700,64.7700,1.4500,TOP3000,1,4,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), subindustry), 30)), 2)",,
SUCCESS,-0.0700,-0.0100,-0.5200,24.2100,-3.4100,3.0700,TOP200,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(cash_burn_rate_v1, 3), subindustry), 30))",,
SUCCESS,-0.3100,-0.1400,-2.4700,19.8400,-5.1200,9.6500,TOP1000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(fcf_yield_times_forward_roe, 20)), sector), 30))",,
TIMEOUT,,,,,,,TOP3000,1,4,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_std_dev(earnings_revision_magnitude, 20)), industry), 15)), 2)",,
SUCCESS,2.1266,2.0193,6.9721,-22.2532,7.3939,34.9545,TOP1000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 10))",,
FAILED,,,,,,,TOP1000,1,0,NONE,,"signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_delta((implied_volatility_call_270 - implied_volatility_put_270), 3)), subindustry), 30)), 2)",,
SUCCESS,1.2870,1.9671,-2.8384,-17.1293,18.0391,32.1993,TOP3000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(mdl177_2_earningmomentumfactor400_sue, 3), subindustry), 10))",,
SUCCESS,0.4200,0.2000,2.8000,15.2600,15.8200,3.5400,TOP3000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(earnings_revision_magnitude, 20)), industry), 10))",,
SUCCESS,0.6800,0.5500,12.1500,25.7900,13.1700,18.4400,TOP200,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 3))",,
SUCCESS,0.2100,0.1200,4.1800,33.9100,34.0500,2.4500,TOP1000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(fifty_to_two_hundred_day_price_ratio), industry), 15))",,
SUCCESS,0.2100,0.0600,0.9400,8.3800,13.3800,1.4100,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 10), sector), 10))",,
SUCCESS,0.0300,0.0000,0.1900,11.4500,2.6300,1.4200,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(consensus_analyst_rating, 20)), industry), 15))",,
SUCCESS,0.2000,0.0500,0.8000,8.7300,5.7200,2.7800,TOP3000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(mdl177_2_earningmomentumfactor400_sue, 10), subindustry), 10))",,
SUCCESS,-0.1700,-0.0700,-2.0100,36.9500,-11.4400,3.5100,TOP200,1,0,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 5)), industry), 5)), 2)",,
SUCCESS,-0.3900,-0.1900,-2.9100,17.9600,-15.7200,3.7000,TOP1000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean((implied_volatility_call_270 - implied_volatility_put_270), 20)), industry), 30))",,
SUCCESS,2.0800,2.2600,22.5300,10.5000,23.6400,19.0600,TOP3000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 30))",,
SUCCESS,0.3400,0.1400,2.1500,17.3500,25.2700,1.7000,TOP1000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_rank(ts_mean(fcf_yield_times_forward_roe, 10), sector), 10))",,
SUCCESS,-0.2300,-0.0800,-1.6500,15.6900,-6.0400,5.4700,TOP200,1,0,NONE,,"signed_power(normalize(ts_decay_linear(group_rank(ts_mean(earnings_revision_magnitude, 3), subindustry), 30)), 2)",,
SUCCESS,0.0300,0.0000,0.2700,24.3800,0.8600,6.3600,TOP200,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(earnings_revision_magnitude), industry), 10))",,
ERROR,,,,,,,TOP3000,1,0,NONE,,"((high > low) ? ts_max(vwap, 30) : ts_argmax(vwap, 5))",,
ERROR,,,,,,,TOP1000,1,4,NONE,,"((high > low) ? ts_max(cap, 20) : ts_argmax(cap, 20))",,
ERROR,,,,,,,TOP200,1,4,NONE,,"((high > low) ? ts_max(vwap, 30) : ts_argmax(vwap, 5))",,
ERROR,,,,,,,TOP3000,1,2,NONE,,"((high > low) ? stddev(vwap, 20) : ts_argmax(vwap, 20))",,
ERROR,,,,,,,TOP3000,1,4,NONE,,"((high > low) ? ts_max(adv180, 20) : ts_argmax(adv180, 20))",,
SUCCESS,-0.2600,-0.1300,-3.2500,63.3800,-55.4000,1.1700,TOP3000,1,2,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), industry), 10))",,
SUCCESS,-0.4900,-0.2200,-2.5200,18.8200,-14.4700,3.4900,TOP1000,1,4,NONE,,"-1 * signed_power(normalize(ts_decay_linear(group_rank(ts_mean(mdl177_2_earningsqualityfactor_wcacc, 10), sector), 15)), 2)",,
SUCCESS,2.0500,2.6200,23.1000,11.8700,32.6200,14.1600,TOP3000,1,8,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), industry), 60))",,
